"","Type","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.MKT.indep","t.Coef","t.Coef.indep","sig","sig.indep"
"26","RE",0.758252166725196,10.7999021738851,5.48216617597289,"EG",-0.437573189432078,17.571337177113,11.5264455774528,0.0702091699088443,0.138312510490551,0.0431527867846525,0.0657836938221818,FALSE,FALSE
"27","RE",0.137294757305687,1.43593658063729,1.02770222733377,"ROE",3.73874789145475,2.03028667851717,1.4615665881338,0.0956133851292747,0.133593908482498,0.0676233355409498,0.093936710390316,FALSE,FALSE
"28","RE",1.67248495609791,33.6340547240525,14.72004197231,"Alpha",-0.00861115601865765,0.174949849677963,0.0752004382814283,0.0497259390763219,0.113619577936261,9.55979647411254,22.2403618159623,FALSE,FALSE
"29","RE",0.865811237254261,3.96209770170207,4.22846558095782,"IA",-2.04808615819149,2.76519856046194,1.132451263167,0.218523444508276,0.204757782859413,0.313109969618103,0.764546135815985,FALSE,FALSE
"30","RE",0.814764531104178,3.9379683882335,3.84353002036421,"ME",-1.68939860102817,3.13942117519432,1.65455392545527,0.206899713450891,0.211983392034745,0.259526991007744,0.492437580044413,FALSE,FALSE
"7","NATRES",0.258593749999999,1.33741684964552,2.8689675713039,"MKT",0.258593749999999,1.33741684964552,2.8689675713039,0.19335314196807,0.0901347762123614,0.19335314196807,0.0901347762123614,FALSE,FALSE
"8","NATRES",0.310879317065275,7.29664358693197,15.9584942929943,"ME",1.38376891694321,9.38282825229387,19.8046811883051,0.0426057972218965,0.0194804917906165,0.0331327941539666,0.0156972644047839,FALSE,FALSE
"9","NATRES",0.284507881844576,6.40698714032989,6.04440308615485,"IA",0.886166617396142,46.9315426139479,46.1986496293728,0.0444058768361953,0.0470696407551413,0.00606218900974334,0.00615835926216527,FALSE,FALSE
"10","NATRES",0.0614387143286868,2.81990540268857,1.81284999887207,"ROE",0.934787270598463,6.52872592329378,4.70711375788298,0.021787508995908,0.0338906773130227,0.00941052129474147,0.0130523113501975,FALSE,FALSE
"11","NATRES",0.117829153324418,1.46714802156625,1.59873045504276,"EG",0.356552336412642,21.0484844196481,13.9993750545363,0.0803117010638298,0.0737017005917151,0.00559798753084703,0.00841674380930577,FALSE,FALSE
"12","NATRES",-0.0853590920302215,0.578464263885175,0.360457197699841,"Alpha",0.00333190171663857,0.00313465657296639,0.00194194717449321,-0.147561564921779,-0.236807844523336,-27.2307635759424,-43.9554140047592,FALSE,FALSE
