"Date","CF","NAV","CON","DIS","type","Vintage","Fund.ID"
2017-12-31,-0.022469866692854,0.38673964775894,-0.0242268886,0.001757021907146,"FOF",2015,"2015_FOF"
2018-03-31,-0.057823993909482,0.461902963999548,-0.0751041956,0.017280201690518,"FOF",2015,"2015_FOF"
2018-06-30,-0.08203248810463,0.513776060099322,-0.0979136158,0.01588112769537,"FOF",2015,"2015_FOF"
2018-09-30,-0.03804767001042,0.58570162225972,-0.0574221018,0.01937443178958,"FOF",2015,"2015_FOF"
2018-12-31,-0.046244217879155,0.688700174204605,-0.0575003685,0.011256150620845,"FOF",2015,"2015_FOF"
2019-03-31,-0.011360711369,0.7177329675856,-0.02125,0.00988928863100001,"FOF",2015,"2015_FOF"
2019-06-30,0.000606830633710007,0.746428815768262,-0.0029,0.00350683063371,"FOF",2015,"2015_FOF"
2019-09-30,0.00448250015545001,0.800418870809715,-0.02375,0.02823250015545,"FOF",2015,"2015_FOF"
2019-12-31,-0.007093752327406,0.814004882985898,-0.02648,0.019386247672594,"FOF",2015,"2015_FOF"
2020-03-31,-0.000896863434108012,0.777179354198022,-0.0177000024,0.016803138965892,"FOF",2015,"2015_FOF"
2020-06-30,-0.030994304049298,0.832336901819002,-0.038000297,0.00700599295070199,"FOF",2015,"2015_FOF"
2020-09-30,0.012369227739094,0.884380983623402,-0.0027,0.015069227739094,"FOF",2015,"2015_FOF"
2020-12-31,-0.00771077304067201,1.04268312114698,-0.0187999514,0.011089178359328,"FOF",2015,"2015_FOF"
2021-03-31,0.04343342001524,1.08554313908218,-0.0077001418,0.05113356181524,"FOF",2015,"2015_FOF"
2021-06-30,0.07397358452159,1.15243079545357,-0.014347077,0.08832066152159,"FOF",2015,"2015_FOF"
2021-09-30,1.19032241231651,1.16461795188436,-0.0125801358,0.038284596232158,"FOF",2015,"2015_FOF"
2016-03-31,-0.6228333319,0.78791333313,-0.6415,0.0186666681,"FOF",2016,"2016_FOF"
2016-06-30,-0.11128529465,0.427222857248683,-0.111285294,-6.50000000314321e-10,"FOF",2016,"2016_FOF"
2016-09-30,-0.0506960788,0.7964592842,-0.151029412,0.1003333332,"FOF",2016,"2016_FOF"
2016-12-31,-0.263781234857143,0.527870802189286,-0.299495520571429,0.00685714285714286,"FOF",2016,"2016_FOF"
2017-03-31,-0.038,0.519064801006667,-0.0403333333333333,0.00233333333333333,"FOF",2016,"2016_FOF"
2017-06-30,-0.0345261804936,0.6395427004894,-0.0788,0.0072,"FOF",2016,"2016_FOF"
2017-09-30,0.51459999988,0.89819958442,-0.097,0.01019999988,"FOF",2016,"2016_FOF"
2017-12-31,-0.0187165677,0.22578998252925,-0.01871656775,5.00000001920853e-11,"FOF",2016,"2016_FOF"
2018-03-31,-0.04627786015,0.273849032805,-0.04627786025,9.99999996565748e-11,"FOF",2016,"2016_FOF"
2018-06-30,0.18514673651771,0.50898656324771,-0.0520000014,0.00890240012,"FOF",2016,"2016_FOF"
2018-09-30,-0.053565739575,0.416387988043135,-0.0588168645,0.005251124925,"FOF",2016,"2016_FOF"
2018-12-31,-0.0618846849716333,0.4865395763997,-0.0710371523333333,0.0091524673617,"FOF",2016,"2016_FOF"
2019-03-31,-0.0337449124724275,0.53100002045171,-0.03374707625,2.16377757250011e-06,"FOF",2016,"2016_FOF"
2019-06-30,-0.0537466338738475,0.60822681196,-0.0600029195,0.0062562856261525,"FOF",2016,"2016_FOF"
2019-09-30,-0.04504114425,0.677030432730317,-0.04504114425,0,"FOF",2016,"2016_FOF"
2019-12-31,-0.02629800775,0.7254610692893,-0.03254800825,0.0062500005,"FOF",2016,"2016_FOF"
2020-03-31,-0.0337500000625,0.74478739689155,-0.03375,-6.25000015133992e-11,"FOF",2016,"2016_FOF"
2020-06-30,-0.0227520343875,0.786865849929135,-0.0227460595,-5.97488749999902e-06,"FOF",2016,"2016_FOF"
2020-09-30,0.0062078595,0.8082118427042,-3.94050000000279e-06,0.0062118,"FOF",2016,"2016_FOF"
2020-12-31,-0.02665239878529,0.845509214250343,-0.026661218,8.81921470999951e-06,"FOF",2016,"2016_FOF"
2021-03-31,-0.0227058803120467,0.939555898881237,-0.0413353916666667,0.01862951135462,"FOF",2016,"2016_FOF"
2021-06-30,0.00560463676312501,1.15001946784666,-0.02280811825,0.028412755013125,"FOF",2016,"2016_FOF"
2021-09-30,1.1223274996615,1.103019482765,-0.0161319446666667,0.03543996156317,"FOF",2016,"2016_FOF"
