"Date","CF","NAV","CON","DIS","type","Vintage","Fund.ID"
2012-06-30,55.0718178419731,1327.84724735522,-44.0656740815555,99.1374919235286,"PD",2008,"2008_PD"
2012-09-30,127.25675415245,1284.21001470666,-19.3392753291875,114.963917340559,"PD",2008,"2008_PD"
2012-12-31,311.726638444257,1100.15671104922,-29.9204444312941,341.647082875551,"PD",2008,"2008_PD"
2013-03-31,141.034955402277,1007.70705918022,-13.0343867646667,154.069342166943,"PD",2008,"2008_PD"
2013-06-30,210.21147465299,861.281871137445,-13.3207212347059,223.532195887696,"PD",2008,"2008_PD"
2013-09-30,118.640529047089,730.150953954451,-0.570369977562502,119.210899024652,"PD",2008,"2008_PD"
2013-12-31,135.426318819823,684.608108157254,-5.0682190392353,140.494537859058,"PD",2008,"2008_PD"
2014-03-31,48.9925585147357,651.108016581238,-18.8648304690667,67.8573889838024,"PD",2008,"2008_PD"
2014-06-30,57.7926610097606,614.840397945958,-2.68964955482353,60.4823105645841,"PD",2008,"2008_PD"
2014-09-30,73.3162785670205,502.910234201582,-0.610615627687505,73.926894194708,"PD",2008,"2008_PD"
2014-12-31,58.468003959985,487.319368185201,-9.447805736375,67.9158096963599,"PD",2008,"2008_PD"
2015-03-31,34.5551052228068,474.313586746632,-5.50532002921429,40.0604252520211,"PD",2008,"2008_PD"
2015-06-30,51.1040804408444,431.492189823052,-6.74783250264706,51.1637575497803,"PD",2008,"2008_PD"
2015-09-30,31.0090295338091,272.347694966822,-0.596047074607691,31.6050766084168,"PD",2008,"2008_PD"
2015-12-31,13.357913722937,314.564337954982,-3.64337063666667,17.0012843596036,"PD",2008,"2008_PD"
2016-03-31,-6.54961712891349,403.695673739245,-37.5,30.9503828710865,"PD",2008,"2008_PD"
2016-06-30,17.3586098803773,435.58899217762,-3.77673605688667,21.135345937264,"PD",2008,"2008_PD"
2016-09-30,19.3333740622711,230.864896619905,-0.2116396528,19.5450137150711,"PD",2008,"2008_PD"
2016-12-31,45.6821691513756,411.866728932583,-0.0870025281999915,45.7691716795757,"PD",2008,"2008_PD"
2017-03-31,56.703044065605,387.501745039317,0,56.703044065605,"PD",2008,"2008_PD"
2017-06-30,38.6524916809844,212.373083206487,-0.0399424,38.6924340809844,"PD",2008,"2008_PD"
2017-09-30,4.29858731283064,206.993255308703,-0.32017586445,4.61876317728059,"PD",2008,"2008_PD"
2017-12-31,85.962258771786,265.133895127213,-11.2836389753846,96.3184850037972,"PD",2008,"2008_PD"
2018-03-31,35.827102105242,288.105512665761,-2.71213159066666,38.5392336959085,"PD",2008,"2008_PD"
2018-06-30,43.6058774738688,281.599621011942,-0.0961612123846146,43.7020386862535,"PD",2008,"2008_PD"
2018-09-30,19.0395024382535,119.093227169352,0,19.0395024382535,"PD",2008,"2008_PD"
