"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead1484",1.30542475715546,27.410252740951,73,NA,NA,0,FALSE,TRUE,0.822000000000003,0.998453967236825,0.95456507359528,0.378763147186745,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .534",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:21,27.410252740951,-0.00254375679661374,0.00184639182372781,0.000802190744544213
"Nelder-Mead585",0.9216796875,22.9032077334366,24,NA,NA,0,TRUE,TRUE,0.220000000000027,0.624324808247618,0.96100112935455,0.634397505510459,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .535",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:19,22.9032077334366,NA,NA,NA
"Nelder-Mead1485",0.855969087337548,22.8333948071066,63,NA,NA,0,FALSE,TRUE,0.628000000000043,4.9473514493419,0.775771548499608,2.08278831798108,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .535",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:23,22.8333948071066,0.000421518603172899,0.0605022997887956,0.0232440118575354
"Nelder-Mead586",0.9203125,33.6785181479559,18,NA,NA,0,FALSE,TRUE,0.172000000000025,2.28346972760748,0.855610982803674,3.04585587540623,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .536",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:22,33.6785181479559,NA,NA,NA
"Nelder-Mead1486",0.850631923222811,33.6075697970734,67,NA,NA,0,FALSE,TRUE,0.691000000000031,0.214605769805398,0.999486364170595,0.112700809099818,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .536",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:25,33.6075697970734,0.000457669643051162,0.00025198290247457,0.000348705337812145
"Nelder-Mead587",0.88544921875,24.8780816787006,26,NA,NA,0,TRUE,TRUE,0.226999999999975,6.16754674040414,0.479878932749966,7.81006130912453,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .537",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:24,24.8780816787006,NA,NA,NA
"Nelder-Mead1487",1.14328957839822,23.5212868257877,67,NA,NA,0,FALSE,TRUE,0.658999999999992,2.7467864697478,0.925467121133993,1.21273155890506,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .537",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:26,23.5212868257877,-0.00171970148332718,0.00259643258833561,0.00137979968166874
"Nelder-Mead588",0.9306640625,29.7601292520188,24,NA,NA,0,TRUE,TRUE,0.234000000000037,0.915276630540542,0.949398965603597,0.594691586518255,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .538",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:25,29.7601292520188,NA,NA,NA
"Nelder-Mead1488",0.875499604444378,29.7147313299856,63,NA,NA,0,FALSE,TRUE,0.70900000000006,0.117988783313489,0.999892113836671,0.0467611005499903,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .538",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:29,29.7147313299856,0.0003819408705656,0.000215281012146552,0.000148531381339802
"Nelder-Mead589",1.014599609375,17.5073669074056,24,NA,NA,0,TRUE,TRUE,0.259000000000015,0.759196973620875,0.991156445160266,1.75775813302091,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .539",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:27,17.5073669074056,NA,NA,NA
