"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"193";2019-03-31;0;"2019-03-31";0,00116140534265295;"PD";"Ensemble1"
"194";2019-04-30;0;"2019-04-30";0,0244760631624369;"PD";"Ensemble1"
"195";2019-05-31;0;"2019-05-31";-0,050960430185892;"PD";"Ensemble1"
"196";2019-06-30;0,00868612195146053;"2019-06-30";0,0558056649454185;"PD";"Ensemble1"
"197";2019-07-31;0;"2019-07-31";-0,00128260503297799;"PD";"Ensemble1"
"198";2019-08-31;0;"2019-08-31";-0,0277563027947061;"PD";"Ensemble1"
"199";2019-09-30;0;"2019-09-30";0,0414706953600533;"PD";"Ensemble1"
"200";2019-10-31;0;"2019-10-31";0,0178594897909521;"PD";"Ensemble1"
"201";2019-11-30;0;"2019-11-30";0,0162081888176024;"PD";"Ensemble1"
"202";2019-12-31;0;"2019-12-31";0,0281574240038147;"PD";"Ensemble1"
"203";2020-01-31;0;"2020-01-31";-0,0318040264779578;"PD";"Ensemble1"
"204";2020-02-29;0;"2020-02-29";-0,08300240810756;"PD";"Ensemble1"
"205";2020-03-31;0;"2020-03-31";-0,15066895688141;"PD";"Ensemble1"
"206";2020-04-30;0;"2020-04-30";0,0689229494779324;"PD";"Ensemble1"
"207";2020-05-31;0;"2020-05-31";0,0198816796857204;"PD";"Ensemble1"
"208";2020-06-30;0;"2020-06-30";-5,34386822244802e-05;"PD";"Ensemble1"
"209";2020-07-31;0;"2020-07-31";0,0142014415917552;"PD";"Ensemble1"
"210";2020-08-31;0;"2020-08-31";0,0332970325375259;"PD";"Ensemble1"
"211";2020-09-30;0;"2020-09-30";-0,0251235605666469;"PD";"Ensemble1"
"212";2020-10-31;0;"2020-10-31";-0,0227297229790776;"PD";"Ensemble1"
"213";2020-11-30;0;"2020-11-30";0,133913308840013;"PD";"Ensemble1"
"214";2020-12-31;0;"2020-12-31";0,0281417522240237;"PD";"Ensemble1"
"215";2021-01-31;0;"2021-01-31";-0,00833820949123529;"PD";"Ensemble1"
"216";2021-02-28;0;"2021-02-28";0,0482898828907487;"PD";"Ensemble1"
"217";2021-03-31;0;"2021-03-31";0,0590851497301131;"PD";"Ensemble1"
"218";2021-04-30;0;"2021-04-30";0,021308319620435;"PD";"Ensemble1"
