"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead353",0.6650390625,30.8295703348565,28,NA,NA,0,TRUE,TRUE,0.563999999999965,2.4513178544268,0.411591743975835,6.0787645462233,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .326",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:07,30.8295703348565,NA,NA,NA
"Nelder-Mead1253",0.81607843046084,30.5674187001583,85,NA,NA,0,FALSE,TRUE,1.81000000000006,125.854745598362,0,59.4813706291914,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .326",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:14,30.5674187001583,-0.00113424942658072,0.269398845746428,0.133357371568915
"Nelder-Mead354",1.073046875,53.8748171988075,24,NA,NA,0,TRUE,TRUE,0.532000000000039,1.95149440077129,0.886645140018699,3.63456017573526,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .327",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:11,53.8748171988075,NA,NA,NA
"Nelder-Mead1254",1.59993996904561,49.1219595887472,67,NA,NA,0,FALSE,TRUE,1.40200000000004,61.5060806222067,0,22.2548156902745,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .327",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:15,49.1219595887472,-0.00406816507243093,0.220191576292108,0.0796931568494093
"Nelder-Mead355",0.80087890625,31.1527784320466,26,NA,NA,0,TRUE,TRUE,0.538999999999987,1.51106233140678,0.763502658510013,0.916569992105413,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .328",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:13,31.1527784320466,NA,NA,NA
"Nelder-Mead1255",1.01524089293868,30.4663637674816,59,NA,NA,0,FALSE,TRUE,1.48800000000006,15.3421152239076,0.973006688601134,6.83026185406062,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .328",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:16,30.4663637674816,-0.0015454699138246,0.0739037178056819,0.0298786600356951
"Nelder-Mead356",0.7451171875,62.6142344931045,24,NA,NA,0,TRUE,TRUE,0.461999999999989,1.22056806354907,0.755723216927202,1.14217416609416,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .329",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:17,62.6142344931045,NA,NA,NA
"Nelder-Mead1256",1.23109708057332,59.0301421570696,73,NA,NA,0,FALSE,TRUE,1.77200000000005,0.202671482104132,0.998903750995797,0.0687212060762388,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .329",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:21,59.0301421570696,-0.0042641803172727,0.000114372700631434,0.000132692933043501
"Nelder-Mead357",0.7669921875,40.8820175732045,26,NA,NA,0,TRUE,TRUE,0.671000000000049,1.38038127905819,0.747725723356039,3.07922321478573,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .33",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:18,40.8820175732045,NA,NA,NA
"Nelder-Mead1257",1.45396941151548,35.2081682710266,71,NA,NA,0,FALSE,TRUE,1.5680000000001,15.9176349186438,4.57245352691871e-12,5.42007118178383,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .33",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:22,35.2081682710266,-0.0051211779161831,0.0696118992387529,0.0237569552528664
