"","Type","max.quarter","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep"
"706","VC",60,2.42365090996027,1.5402219274993,0.813679701138884,"ROE",-1.4502923451364,4.83468912477648,0.811284551271797
"707","VC",60,2.43777369186282,1.92820437956559,0.885097020007321,"EG",2.43777369186282,1.92820437956559,0.885097020007321
"708","VC",60,2.92163058754697,10.4362298103933,1.567717636325,"Alpha",2.92163058754697,10.4362298103933,1.567717636325
"709","PD",60,1.671484375,14.1151226626775,11.3530387664002,"MKT",1.671484375,14.1151226626775,11.3530387664002
"710","PD",60,1.26584371770732,10.1504545779148,13.2063853275628,"ME",1.26584371770732,10.1504545779148,13.2063853275628
"711","PD",60,1.4976319545016,15.0392501746735,4.93964341767439,"IA",1.4976319545016,15.0392501746735,4.93964341767439
"712","PD",60,1.86460629647618,6.78917429895536,2.10236486854027,"ROE",2.19237316872574,8.67701937432354,5.83857064045507
"713","PD",60,1.38135195167691,1.44447941828424,3.54593585778379,"EG",1.38135195167691,1.44447941828424,3.54593585778379
"714","PD",60,0.534641133244239,33.4697138680197,9.06484141939245,"Alpha",0.534641133244239,33.4697138680197,9.06484141939245
"715","RE",60,1.296875,2.5771173570774,1.82301478267604,"MKT",1.296875,2.5771173570774,1.82301478267604
"716","RE",60,0.256486148532712,7.12804405621893,1.78469280461919,"ME",0.256486148532712,7.12804405621893,1.78469280461919
"717","RE",60,1.13456324716972,2.99236226291719,2.24316618429809,"IA",1.13456324716972,2.99236226291719,2.24316618429809
"718","RE",60,1.13360650672658,2.1104841782913,1.94906904455821,"ROE",2.76640345152882,4.37559171263505,1.30886275484678
"719","RE",60,0.740696451788898,3.45181362615658,2.26753417660489,"EG",0.740696451788898,3.45181362615658,2.26753417660489
"720","RE",60,-1.31761438835422,11.7803635998114,2.36484802779037,"Alpha",-1.31761438835422,11.7803635998114,2.36484802779037
"721","NATRES",60,-0.322656250000001,1.75193245538162,2.61608760842261,"MKT",-0.322656250000001,1.75193245538162,2.61608760842261
"722","NATRES",60,-0.851253597438337,22.1140607315409,11.3028102861765,"ME",-0.851253597438337,22.1140607315409,11.3028102861765
"723","NATRES",60,-1.08093021109017,3.42807618096352,2.32183352906658,"IA",-1.08093021109017,3.42807618096352,2.32183352906658
"724","NATRES",60,-0.413850204829943,1.90515489008588,2.47852011855036,"ROE",2.72460382686041,3.31882639112609,3.15817750654902
"725","NATRES",60,-0.733600770336979,2.63306989412567,2.39991479289905,"EG",-0.733600770336979,2.63306989412567,2.39991479289905
"726","NATRES",60,-2.10328199254909,29.8157508746639,12.4682839254033,"Alpha",-2.10328199254909,29.8157508746639,12.4682839254033
"727","INF",60,2.275,3.11508528487666,2.31519756443098,"MKT",2.275,3.11508528487666,2.31519756443098
"728","INF",60,3.98496987510314,53.6314154834618,19.7499516747717,"ME",3.98496987510314,53.6314154834618,19.7499516747717
"729","INF",60,1.48377066742177,1.91285053257958,1.95732784370551,"IA",1.48377066742177,1.91285053257958,1.95732784370551
"730","INF",60,1.29444020574311,21.0059054695586,10.8124857903157,"ROE",5.8191015763284,25.0833960821472,24.5007990025756
"731","INF",60,1.60824835017501,1.6078713125828,3.02394485694635,"EG",1.60824835017501,1.6078713125828,3.02394485694635
"732","INF",60,-0.681024243487324,57.212100836,17.1247020226292,"Alpha",-0.681024243487324,57.212100836,17.1247020226292
