"","Type","max.quarter","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep"
"707","VC",60,0.62856055687189,39.5690014465653,18.2959458709314,"EG",0.62856055687189,39.5690014465653,18.2959458709314
"708","VC",60,2.97638803920783,2.45719803143923,2.17740114238258,"Alpha",2.97638803920783,2.45719803143923,2.17740114238258
"709","PD",60,1.85390625,5.83199586550857,15.4784428356322,"MKT",1.85390625,5.83199586550857,15.4784428356322
"710","PD",60,0.918401309591718,36.3724600568268,17.1776383826854,"ME",0.918401309591718,36.3724600568268,17.1776383826854
"711","PD",60,1.84140693704198,17.2101396118019,38.6264066003249,"IA",1.84140693704198,17.2101396118019,38.6264066003249
"712","PD",60,1.55918783646248,494.183053390767,237.077432192287,"ROE",1.17242701210798,365.311322093288,191.909410365523
"713","PD",60,1.52799546412498,31.8430544905232,37.7415073759891,"EG",1.52799546412498,31.8430544905232,37.7415073759891
"714","PD",60,0.527505442643171,23.7463046033033,18.235864349511,"Alpha",0.527505442643171,23.7463046033033,18.235864349511
"715","RE",60,1.3240234375,58.9194945623852,48.4356788326674,"MKT",1.3240234375,58.9194945623852,48.4356788326674
"716","RE",60,2.57387041709708,118.086651442696,70.6841791602119,"ME",2.57387041709708,118.086651442696,70.6841791602119
"717","RE",60,1.12554307914249,4.05965707175219,6.903707971774,"IA",1.12554307914249,4.05965707175219,6.903707971774
"718","RE",60,0.307717426457182,18.2612021901903,9.56008485531781,"ROE",3.07814781492267,2.44310308134118,1.94941786541651
"719","RE",60,0.365135461835046,56.8303248846745,30.9681061571381,"EG",0.365135461835046,56.8303248846745,30.9681061571381
"720","RE",60,-0.801339378740034,37.593737151159,19.1426957672173,"Alpha",-0.801339378740034,37.593737151159,19.1426957672173
"721","NATRES",60,0.39453125,585.503731788004,1460.07319967306,"MKT",0.39453125,585.503731788004,1460.07319967306
"722","NATRES",60,-0.445419750430939,44.4637492182891,32.3567467280644,"ME",-0.445419750430939,44.4637492182891,32.3567467280644
"723","NATRES",60,0.21893682358243,2.67974762495779,5.42989118966766,"IA",0.21893682358243,2.67974762495779,5.42989118966766
"724","NATRES",60,-0.491344269941904,15.1546897833195,8.58791623388848,"ROE",2.38339071384356,36.8683084264452,18.6430992206884
"725","NATRES",60,-0.498546592107961,95.872633382773,43.8590708992398,"EG",-0.498546592107961,95.872633382773,43.8590708992398
"726","NATRES",60,-2.323113283723,127.513704685181,58.0958305279443,"Alpha",-2.323113283723,127.513704685181,58.0958305279443
"727","INF",60,1.78671875,13.8689430597306,17.846019539071,"MKT",1.78671875,13.8689430597306,17.846019539071
"728","INF",60,2.45214114528924,96.7399268079132,48.3850426033738,"ME",2.45214114528924,96.7399268079132,48.3850426033738
"729","INF",60,1.56299604142332,19.996672371269,13.3852774503503,"IA",1.56299604142332,19.996672371269,13.3852774503503
"730","INF",60,0.379386254144035,9.8467196658464,9.98942442287689,"ROE",2.89487857938401,34.5303935861952,18.5785320287564
"731","INF",60,1.05372175327757,11.076552423365,12.0467504859762,"EG",1.05372175327757,11.076552423365,12.0467504859762
"732","INF",60,-0.786497109288583,87.392498618447,40.2944305101263,"Alpha",-0.786497109288583,87.392498618447,40.2944305101263
