"MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","datetime","validation.error","SMB","HDY","QLT","MOM","ESG","LOV"
1.80441987801184,1.1205040578561,6.7710675117869,91,123,43,1,TRUE,TRUE,403.175,"HML","PD",50,0,"ALL","FW","log_L1",2020-03-16 19:01:53,6.7710675117869,NA,NA,NA,NA,NA,NA
0.383832307891154,NA,6.65031329798395,44,38,19,1,TRUE,TRUE,157.728,"SMB","PD",50,0,"ALL","FW","log_L1",2020-03-16 19:06:34,6.65031329798395,3.01696332839004,NA,NA,NA,NA,NA
1.08163573383078,NA,6.66580146025243,63,99,34,0,TRUE,TRUE,310.518,"HDY","PD",50,0,"ALL","FW","log_L1",2020-03-16 19:14:11,6.66580146025243,NA,3.94002410158902,NA,NA,NA,NA
2.52388679099035,NA,6.63365747047455,83,121,40,0,FALSE,TRUE,392.219999999999,"QLT","PD",50,0,"ALL","FW","log_L1",2020-03-16 19:23:23,6.63365747047455,NA,NA,4.08481681541215,NA,NA,NA
1.11466809689623,NA,6.61600933682793,68,99,33,1,TRUE,TRUE,319.836,"MOM","PD",50,0,"ALL","FW","log_L1",2020-03-16 19:31:11,6.61600933682793,NA,NA,NA,2.74879165497352,NA,NA
1.49713574049186,NA,6.76044481281815,51,53,25,1,TRUE,TRUE,200.622,"ESG","PD",50,0,"ALL","FW","log_L1",2020-03-16 19:36:43,6.76044481281815,NA,NA,NA,NA,8.36055421565391,NA
1.67453850974473,NA,6.4880342653549,47,50,21,1,TRUE,TRUE,188.559999999999,"LOV","PD",50,0,"ALL","FW","log_L1",2020-03-16 19:41:59,6.4880342653549,NA,NA,NA,NA,NA,3.69185415372166
2.38258903510257,3.20382009396783,9.02777156660573,63,66,32,1,TRUE,TRUE,407.1,"HML","PE",50,0,"ALL","FW","log_L1",2020-03-16 19:14:42,9.02777156660573,NA,NA,NA,NA,NA,NA
1.4159934102162,NA,8.94704234212402,18,44,15,0,TRUE,TRUE,199.51,"SMB","PE",50,0,"ALL","FW","log_L1",2020-03-16 19:22:57,8.94704234212402,2.77626003062516,NA,NA,NA,NA,NA
1.47286266428167,NA,8.92572510794572,59,73,28,1,TRUE,TRUE,421.708,"HDY","PE",50,0,"ALL","FW","log_L1",2020-03-16 19:36:37,8.92572510794572,NA,5.25959081758416,NA,NA,NA,NA
3.08264250629237,NA,9.05654456883274,17,37,13,0,TRUE,TRUE,174.898,"QLT","PE",50,0,"ALL","FW","log_L1",2020-03-16 19:44:16,9.05654456883274,NA,NA,2.92063900258764,NA,NA,NA
1.53530827317217,NA,8.88743301805557,52,76,25,1,TRUE,TRUE,396.983999999999,"MOM","PE",50,0,"ALL","FW","log_L1",2020-03-16 19:57:19,8.88743301805557,NA,NA,NA,3.49086368732988,NA,NA
1.70574632911758,NA,8.97838510713112,33,63,23,0,TRUE,TRUE,299.058,"ESG","PE",50,0,"ALL","FW","log_L1",2020-03-16 20:08:00,8.97838510713112,NA,NA,NA,NA,20.0191176882638,NA
1.82644511492656,NA,8.78803182648216,68,95,31,1,TRUE,TRUE,514.497,"LOV","PE",50,0,"ALL","FW","log_L1",2020-03-16 20:23:13,8.78803182648216,NA,NA,NA,NA,NA,5.04738041839183
0.677985070951553,3.61976625095253,7.26567283357758,50,61,24,1,TRUE,TRUE,220.204,"HML","RE",50,0,"ALL","FW","log_L1",2020-03-16 19:17:10,7.26567283357758,NA,NA,NA,NA,NA,NA
0.497174590587241,NA,7.2879946695467,65,65,26,1,TRUE,TRUE,259.466,"SMB","RE",50,0,"ALL","FW","log_L1",2020-03-16 19:24:03,7.2879946695467,1.30274352593227,NA,NA,NA,NA,NA
0.622031256738422,NA,7.27022039848326,51,62,25,1,TRUE,TRUE,225.561000000001,"HDY","RE",50,0,"ALL","FW","log_L1",2020-03-16 19:30:18,7.27022039848326,NA,2.93638368502691,NA,NA,NA,NA
1.51612153785876,NA,7.28415490739082,52,50,19,1,TRUE,TRUE,201.963,"QLT","RE",50,0,"ALL","FW","log_L1",2020-03-16 19:36:04,7.28415490739082,NA,NA,2.75402430862544,NA,NA,NA
0.167185336264951,NA,7.19966475834349,50,54,22,1,TRUE,TRUE,211.021,"MOM","RE",50,0,"ALL","FW","log_L1",2020-03-16 19:41:59,7.19966475834349,NA,NA,NA,3.43390602355122,NA,NA
0.751389851223088,NA,7.28893012971504,63,84,30,1,TRUE,TRUE,291.739,"ESG","RE",50,0,"ALL","FW","log_L1",2020-03-16 19:49:31,7.28893012971504,NA,NA,NA,NA,11.5874000761127,NA
0.772365849980671,NA,7.12256849422841,38,46,18,1,TRUE,TRUE,167.237999999999,"LOV","RE",50,0,"ALL","FW","log_L1",2020-03-16 19:54:40,7.12256849422841,NA,NA,NA,NA,NA,4.9765257681454
1.70831723533128,7.1122265551811,5.4398233874126,61,57,28,1,FALSE,TRUE,198.041999999999,"HML","SEC",50,0,"ALL","FW","log_L1",2020-03-16 19:46:35,5.4398233874126,NA,NA,NA,NA,NA,NA
1.34786851000566,NA,5.53292146685821,45,46,20,1,TRUE,TRUE,150.766000000001,"SMB","SEC",50,0,"ALL","FW","log_L1",2020-03-16 19:50:21,5.53292146685821,2.58488104779539,NA,NA,NA,NA,NA
