"MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","SMB","HDY","QLT","MOM","ESG","LOV","max.quarter"
3.08249827480989,NA,5896300032.61907,13,13,NA,0,TRUE,TRUE,521.745999999999,"ESG","VC",NA,NA,NA,NA,-12.2954918327889,NA,60
2.20942391995325,NA,87895585703.3547,9,9,NA,0,TRUE,TRUE,447.416000000005,"LOV","BO",NA,NA,NA,NA,NA,2.61216373834939,60
1.75077384862464,NA,3667055209.62511,9,9,NA,0,TRUE,TRUE,55.5420000000013,"LOV","DD",NA,NA,NA,NA,NA,3.70110072939313,60
1.58145354781413,NA,456247027.269406,15,15,NA,0,TRUE,TRUE,197.200999999994,"LOV","FOF",NA,NA,NA,NA,NA,5.11580757659702,60
0.905026946805637,NA,654929081.645939,9,9,NA,0,TRUE,TRUE,34.2799999999988,"LOV","INF",NA,NA,NA,NA,NA,3.38973065582343,60
1.2600752572218,NA,258530195.198141,9,9,NA,0,TRUE,TRUE,55.989999999998,"LOV","MEZZ",NA,NA,NA,NA,NA,2.76892474862114,60
-0.579368849085556,NA,2140511073.53905,10,10,NA,0,TRUE,TRUE,45.1770000000033,"LOV","NATRES",NA,NA,NA,NA,NA,1.91648885571198,60
1.73268871093791,NA,3971751973.81109,9,9,NA,0,TRUE,TRUE,97.2589999999982,"LOV","PD",NA,NA,NA,NA,NA,3.66512475178577,60
2.07428479948158,NA,93766935409.5042,10,10,NA,0,TRUE,TRUE,814.720999999998,"LOV","PE",NA,NA,NA,NA,NA,2.8068704873364,60
0.65602176616182,NA,12278449231.2986,9,9,NA,0,TRUE,TRUE,112.267,"LOV","RE",NA,NA,NA,NA,NA,4.22529614665789,60
1.92367276145678,NA,729199353.965271,12,12,NA,0,TRUE,TRUE,59.1219999999958,"LOV","SEC",NA,NA,NA,NA,NA,3.32593913120875,60
2.10841022219734,NA,5789464191.26079,8,8,NA,0,TRUE,TRUE,319.339999999997,"LOV","VC",NA,NA,NA,NA,NA,-1.4782586198353,60
