"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","vintage","weighting","nc_tag","nc_label"
147,"PE",60,1.18457168577952,23.851970735015,17.4260309109605,"IA",0.385499636525492,50.7262632912302,36.7695733042386,0.0496634722111475,0.00759960642699536,FALSE,0.0679771367233405,0.0104842020693521,FALSE,2011,"EW","","100% NAV as Cashflow"
146,"PE",60,1.32506251489106,0.896619879452182,1.09065737589013,"ME",0.990953595862334,11.7864959520794,9.39094937394453,1.47784199888658,0.0840753350182509,FALSE,1.21492096801676,0.105522195510048,FALSE,2011,"EW","","100% NAV as Cashflow"
145,"PE",60,1.26796875,0.79215216042365,0.712572499213508,"MKT",1.26796875,0.79215216042365,0.712572499213508,1.60066312174403,1.60066312174403,FALSE,1.77942420090518,1.77942420090518,FALSE,2011,"EW","","100% NAV as Cashflow"
148,"PE",60,1.12840129032586,1.89572020672403,1.67993277515363,"ROE",0.270615486010843,1.92934210735575,1.43846415825908,0.595236199056946,0.140263090189709,FALSE,0.671694312424298,0.188128070106633,FALSE,2011,"EW","","100% NAV as Cashflow"
198,"PE",120,0.770646230621536,17.2191438824973,7.82371884474997,"Alpha",0.0027218732522181,0.169156632439067,0.0807994095535056,0.044755200135407,0.0160908455847781,FALSE,0.0985012685033628,0.0336867963176843,FALSE,2011,"EW","","100% NAV as Cashflow"
197,"PE",120,1.05257239722268,2.32028320759573,1.99887251757913,"EG",0.0669724440478603,1.83813339921283,1.24299119629789,0.453639621998278,0.03643502918588,FALSE,0.526583055180262,0.0538800630666816,FALSE,2011,"EW","","100% NAV as Cashflow"
195,"PE",120,1.1043037428346,1.50152938749419,1.50189602014119,"IA",0.0351111624913756,19.9146060736094,13.8008048817427,0.735452633849215,0.00176308596622981,FALSE,0.735273100151625,0.00254413875076407,FALSE,2011,"EW","","100% NAV as Cashflow"
194,"PE",120,1.13770375362592,5.71167457542558,5.22584007933977,"ME",1.00076049158406,14.8354890328549,12.6834789027644,0.19918917623929,0.0674571960093638,FALSE,0.21770734204512,0.0789026811378968,FALSE,2011,"EW","","100% NAV as Cashflow"
193,"PE",120,1.115625,0.523313350458182,0.874795024015994,"MKT",1.115625,0.523313350458182,0.874795024015994,2.13184891809702,2.13184891809702,TRUE,1.27529874927547,1.27529874927547,FALSE,2011,"EW","","100% NAV as Cashflow"
196,"PE",120,1.17686364173933,1.11283515938189,0.917456308166082,"ROE",-0.0889965152207879,3.21581083099646,1.65276622000737,1.05753635820871,-0.0276746736353305,FALSE,1.2827462531614,-0.0538470076066723,FALSE,2011,"EW","","100% NAV as Cashflow"
